,TIME PERIOD,GDP ,Unemployment,Investment Exp
,1995Q1,25611.19,10.649321,
,1995Q2,26579.05,9.30773,
,1995Q3,27840.26,8.307864,
,1995Q4,28711.76,8.188199,
,1996Q1,29702.13,9.421973,-10.499
,1996Q2,31233.59,8.392873,-18.896
,1996Q3,31161.03,8.18787,-30.038
,1996Q4,33920.04,9.122818,37.233
,1997Q1,33079.03,11.590291,41.863
,1997Q2,34954.49,11.500799,47.625
,1997Q3,34870.69,11.726173,42.446
,1997Q4,37526.26,12.903513,-25.146
,1998Q1,35929.08,15.288865,-4.392
,1998Q2,38759.88,14.632857,3.242
,1998Q3,38475.87,13.659459,11.026
,1998Q4,41778.94,14.237831,5.429
,1999Q1,34863.7,17.019121,-2.064
,1999Q2,38233.66,17.018401,7.101
,1999Q3,40523.42,16.354928,0.519
,1999Q4,45765.1,17.309433,2.778
,2000Q1,41435.13,19.708356,2.882
,2000Q2,44298.25,19.293529,5.127
,2000Q3,47038.86,18.601231,15.152
,2000Q4,54247.64,19.068986,20.505
,2001Q1,47549.61,20.293775,11.012
,2001Q2,54848.16,18.943951,12.944
,2001Q3,51623.81,18.338826,16.65
,2001Q4,59212,18.440834,28.672
,2002Q1,52478.97,20.220629,22.304
,2002Q2,53394.41,18.546046,23.635
,2002Q3,49250.7,17.451659,32.29
,2002Q4,55762,16.736896,25.067
,2003Q1,46501.29,17.931776,34.887
,2003Q2,47683.17,17.193284,31.439
,2003Q3,47202.51,15.981123,27.184
,2003Q4,51003.24,15.453008,21.616
,2004Q1,44868.35,15.54962,0.205
,2004Q2,48215.16,13.435013,24.658
,2004Q3,51738.04,11.99838,14.139
,2004Q4,62325.87,10.995135,18.707
,2005Q1,57143.29,10.731139,31.01
,2005Q2,58701.07,9.172468,3.451
,2005Q3,60878.86,8.389195,20.118
,2005Q4,69815.72,7.7875,9.582
,2006Q1,63864.86,7.584446,18.492
,2006Q2,64992.83,6.556009,26.199
,2006Q3,66854.87,5.681132,11.775
,2006Q4,78903.89,5.982497,22.903
,2007Q1,70222.42,7.755079,18.283
,2007Q2,75170.53,7.508101,17.965
,2007Q3,76651.32,7.636537,15.871
,2007Q4,92501.8,8.22443,11.922
,2008Q1,84462.88,10.569661,-0.304
,2008Q2,91299.3,9.302065,-7.676
,2008Q3,94922.58,8.668619,-10.33
,2008Q4,95190.88,8.880057,-25.191
,2009Q1,71376.86,9.987389,-3.685
,2009Q2,74220.07,8.975121,-17.281
,2009Q3,80357.83,8.325797,-10
,2009Q4,91780.62,8.865002,-11.133
,2010Q1,82307.38,10.158648,12.948
,2010Q2,86442.28,9.245817,19.394
,2010Q3,88418.02,9.025609,23.004
,2010Q4,101983.66,9.359592,8.106
,2011Q1,89996.88,10.802552,17.518
,2011Q2,94591.88,9.844592,3.045
,2011Q3,92336.19,9.047111,-1.768
,2011Q4,99649.96,9.154291,-1.773
,2012Q1,88504.67,10.293693,-39.441
,2012Q2,92710.79,8.706179,-17.532
,2012Q3,96280.28,7.501132,-18.337
,2012Q4,108195.58,7.587988,-27.793
,2013Q1,90209.85,8.529105,13.596
,2013Q2,94305.51,7.371383,13.144
,2013Q3,94282.11,6.724797,22.653
,2013Q4,109630.47,6.777577,32.274
,2014Q1,94310.02,6.987362,30.119
,2014Q2,99219.44,6.312359,23.05
,2014Q3,100830.41,5.746603,33.404
,2014Q4,111986.23,5.449168,34.542
,2015Q1,98334.99,5.421668,6.476
,2015Q2,106053.54,5.173013,6.826
,2015Q3,105307.73,4.555497,-8.141
,2015Q4,119996.11,4.379165,-0.308
,2016Q1,98121.83,4.081833,10.394
,2016Q2,102588.91,3.714865,13.307
,2016Q3,104543.63,3.954602,-0.24
,2016Q4,119419.66,3.657098,4.07
,2017Q1,106262.6,3.421715,-1.128
,2017Q2,113540.76,3.162379,-10.698
,2017Q3,114940.86,2.892985,6.541
,2017Q4,131312.44,2.625212,12.138
,2018Q1,117242.22,2.988044,25.069
,2018Q2,119820.28,3.173832,-7.142
,2018Q3,122568.95,3.014022,-2.432
,2018Q4,139180.59,3.079766,14.16
,2019Q1,122630.56,4.107624,23.722
,2019Q2,129445.09,3.578553,52.358
,2019Q3,131621.25,2.972073,48.295
,2019Q4,148881.13,2.823688,52.833
,2020Q1,129395.39,3.1678,22.068
,2020Q2,117496.64,2.296036,35.264
,2020Q3,132646.43,2.961126,
,2020Q4,146495.82,2.968471,
,2021Q1,131058.32,3.023801,
,2021Q2,137182.24,2.461465,
,2021Q3,145945.6,2.752392,
,2021Q4,161963.92,2.933544,
,2022Q1,149166.8,2.975341,
,2022Q2,156208.65,2.679445,
,2022Q3,165178.53,,
,2022Q4,185214.94,,
,2023Q1,169771.05,,
,2023Q2,180273.13,,
,2023Q3,188968.53,,
,2023Q4,213308.69,,
,2024Q1,192264.23,,
,2024Q2,200013.14,,
